Route,Method,Endpoint,Category,Purpose,Request Body,Response Body,Status Codes,Authentication,Rate Limit,Validation,Database Operations,Error Handling,Tests
Login,POST,/api/auth/login,Authentication,User login with email and password,"{ email string password string }","{ success boolean token string user object expiresIn number }","200 OK 400 Bad Request 401 Unauthorized 403 Forbidden 429 Too Many Requests",None (pre-auth),5 requests per 15 minutes,Email format validation Password min 8 chars Account active check Zod schema,"Prisma User.findUnique User password verification Audit logging","Invalid credentials Account locked User not found Validation errors Password verification failed",✅
Logout,POST,/api/auth/logout,Authentication,Logout user and clear session,"{ }","{ success boolean message string }","200 OK 401 Unauthorized",JWT Bearer token,Not rate limited,Token validation,"Prisma AuditLog.create Session invalidation","No active session Invalid token",✅
Get Current User,GET,/api/auth/me,Authentication,Get authenticated user details,None,"{ user object id name email role isActive }","200 OK 401 Unauthorized 404 Not Found",JWT Bearer token,Not rate limited,Token validation,"Prisma User.findUnique Session.findUnique","Invalid token User not found Session expired",✅
Create User,POST,/api/users,User Management,Create new user account,"{ email string password string name string role 'admin'|'viewer' }","{ success boolean user object id email name role createdAt }","201 Created 400 Bad Request 409 Conflict 401 Unauthorized",JWT Bearer token Admin role required,10 requests per hour,Email unique validation Password strength Zod schema,"Prisma User.create PasswordHash.create Audit logging","Duplicate email Invalid password format Missing permissions",✅
List Users,GET,/api/users?page=1&limit=10,User Management,List all users with pagination,"None - Query params: page limit sort","{ success boolean users array total number page number }","200 OK 401 Unauthorized 403 Forbidden",JWT Bearer token Admin role required,20 requests per hour,Page limit validation Sort field validation,"Prisma User.findMany User.count","Invalid pagination Missing permissions",✅
Get User,GET,/api/users/:id,User Management,Get specific user details,None,"{ success boolean user object }","200 OK 404 Not Found 401 Unauthorized",JWT Bearer token Admin or self,Not rate limited,ID validation,"Prisma User.findUnique","User not found Insufficient permissions",✅
Update User,PATCH,/api/users/:id,User Management,Update user information,"{ name string email string phone string role string }","{ success boolean user object }","200 OK 400 Bad Request 404 Not Found 401 Unauthorized",JWT Bearer token Admin or self,10 requests per hour,Email unique validation role enum,"Prisma User.update Audit logging","User not found Validation failed",✅
Deactivate User,DELETE,/api/users/:id,User Management,Deactivate user account,None,"{ success boolean message string }","200 OK 404 Not Found 403 Forbidden",JWT Bearer token Admin only,5 requests per hour,ID validation,"Prisma User.update(isActive: false) Audit logging","User not found Insufficient permissions",✅
Get Patients Data,GET,/api/patients-data?page=1&limit=20,Patient Data,Retrieve patient data with pagination,"None - Query params: page limit search filter","{ success boolean patients array total number page number }","200 OK 401 Unauthorized 403 Forbidden",JWT Bearer token,20 requests per hour,Page limit search term validation,"Prisma Patient.findMany Patient.count","Invalid pagination Insufficient permissions",✅
Create Patient,POST,/api/patients-data,Patient Data,Create new patient record,"{ name string gender string birthDate string sampleCode string sampleDate string reportDate string checkedBy string scientificContent string disclaimer string }","{ success boolean patient object id createdAt }","201 Created 400 Bad Request 409 Conflict",JWT Bearer token Admin role,5 requests per hour,Required fields validation Email format sampleCode unique,"Prisma Patient.create Audit logging","Duplicate sampleCode Validation failed Missing fields",✅
Update Patient,PATCH,/api/patients-data/:id,Patient Data,Update patient information,"{ name string gender string birthDate string ... }","{ success boolean patient object }","200 OK 400 Bad Request 404 Not Found",JWT Bearer token Admin role,10 requests per hour,Field validation data type checking,"Prisma Patient.update Audit logging","Patient not found Validation failed",✅
Delete Patient,DELETE,/api/patients-data/:id,Patient Data,Delete patient and associated reports,None,"{ success boolean message string }","200 OK 404 Not Found 403 Forbidden",JWT Bearer token Admin only,5 requests per hour,ID validation,"Prisma Patient.delete(onDelete: Cascade) Audit logging Report cleanup","Patient not found Insufficient permissions",✅
Get Reports,GET,/api/patients-data/:patientId/reports,Report Management,Get all reports for a patient,None,"{ success boolean reports array }","200 OK 404 Not Found 401 Unauthorized",JWT Bearer token,20 requests per hour,PatientId validation,"Prisma Report.findMany(patientId)","Patient not found Insufficient permissions",✅
Create Report,POST,/api/patients-data/:patientId/reports,Report Management,Create new report for patient,"{ patientId string title string subtitle string ... report sections }","{ success boolean report object id createdAt }","201 Created 400 Bad Request 404 Not Found",JWT Bearer token,5 requests per hour,PatientId validation required fields,"Prisma Report.create Audit logging Template application","Patient not found Invalid template",✅
Update Report,PATCH,/api/patients-data/:patientId/reports/:reportId,Report Management,Update report content,"{ title string subtitle string ... sections data }","{ success boolean report object updatedAt }","200 OK 400 Bad Request 404 Not Found",JWT Bearer token Ownership check,10 requests per hour,ReportId PatientId validation,"Prisma Report.update Audit logging","Report not found Insufficient permissions",✅
Upload Image,POST,/api/upload-image,File Operations,Upload image file for report,"FormData: file image/jpeg image/png","{ success boolean filename string url string size number }","201 Created 400 Bad Request 413 Payload Too Large",JWT Bearer token,10 uploads per hour,File type validation MIME type size limit path security,"File system storage Prisma ImageUpload.create Audit logging","Invalid file type File too large Insufficient space",✅
Lifestyle Images,GET,/api/lifestyle-images,File Operations,Get lifestyle images,None,"{ success boolean images array }","200 OK 401 Unauthorized",JWT Bearer token,30 requests per hour,None,"Prisma LifestyleImage.findMany","No images found",✅
Sports Images,GET,/api/sports-images,File Operations,Get sports/fitness images,None,"{ success boolean images array }","200 OK 401 Unauthorized",JWT Bearer token,30 requests per hour,None,"Prisma SportsImage.findMany","No images found",✅
Sleep Images,GET,/api/sleep-image,File Operations,Get sleep/rest images,None,"{ success boolean images array }","200 OK 401 Unauthorized",JWT Bearer token,30 requests per hour,None,"Prisma SleepImage.findMany","No images found",✅
Digestive Images,GET,/api/digestive-images,File Operations,Get digestive health images,None,"{ success boolean images array }","200 OK 401 Unauthorized",JWT Bearer token,30 requests per hour,None,"Prisma DigestiveImage.findMany","No images found",✅
Addiction Images,GET,/api/addiction-images,File Operations,Get addiction risk images,None,"{ success boolean images array }","200 OK 401 Unauthorized",JWT Bearer token,30 requests per hour,None,"Prisma AddictionImage.findMany","No images found",✅
Allergies Images,GET,/api/allergies-image,File Operations,Get allergies/sensitivity images,None,"{ success boolean images array }","200 OK 401 Unauthorized",JWT Bearer token,30 requests per hour,None,"Prisma AllergiesImage.findMany","No images found",✅
Share Report,POST,/api/share-report,Report Sharing,Create share token for report,"{ reportId string recipients array password string expiresIn number }","{ success boolean token string shareUrl string expiresAt }","201 Created 400 Bad Request 404 Not Found",JWT Bearer token Ownership check,20 shares per hour,ReportId recipient email validation expiry duration,"Prisma ShareToken.create Audit logging Email sending","Report not found Invalid recipients",✅
Get Shared Access,GET,/api/shared-access/:token,Report Sharing,Access shared report with token,None,"{ success boolean report object patientInfo object }","200 OK 401 Unauthorized 404 Not Found",Share token validation,100 requests per hour,Token format validation expiry check,"Prisma ShareToken.findUnique Report.findUnique","Token invalid Token expired",✅
Revoke Share,DELETE,/api/share-report/:tokenId,Report Sharing,Revoke report share access,None,"{ success boolean message string }","200 OK 404 Not Found 403 Forbidden",JWT Bearer token Ownership check,10 requests per hour,TokenId validation,"Prisma ShareToken.delete Audit logging","Token not found Insufficient permissions",✅
List Share Tokens,GET,/api/share-report?reportId=:id,Report Sharing,Get all share tokens for report,None,"{ success boolean tokens array total number }","200 OK 404 Not Found 401 Unauthorized",JWT Bearer token,20 requests per hour,ReportId validation,"Prisma ShareToken.findMany(reportId)","Report not found Insufficient permissions",✅
Comprehensive Report Data,GET,/api/comprehensive-report-data/:reportId,Report Generation,Get all data for comprehensive report,"None - Query: format (json|pdf)","{ success boolean data object reportSections array patientInfo object }","200 OK 404 Not Found 401 Unauthorized",JWT Bearer token,10 requests per hour,ReportId format validation,"Prisma Report.findUnique Patient.findUnique ImageUpload.findMany","Report not found Invalid format",✅
Generate PDF,POST,/api/comprehensive-report-data/:reportId/pdf,Report Generation,Generate PDF from report data,"{ includeImages boolean pageFormat 'A4'|'Letter' }","{ success boolean pdfUrl string filename string }","201 Created 400 Bad Request 404 Not Found",JWT Bearer token,5 requests per hour,ReportId field validation,"PDF generation library File storage Audit logging","Report not found PDF generation failed",✅
Nutrition Analysis,GET,/api/nutrition,Health Analysis,Get nutrition analysis for patient,None,"{ success boolean nutrition object dietData array macros object }","200 OK 401 Unauthorized",JWT Bearer token,30 requests per hour,Query validation,"Prisma NutritionData.findUnique","No nutrition data",✅
Upload Signature,POST,/api/upload-signature,File Operations,Upload signature image,"FormData: file image/jpeg","{ success boolean filename string url string }","201 Created 400 Bad Request 413 Payload",JWT Bearer token,5 uploads per hour,File type image size validation,"File storage Audit logging","Invalid file type File too large",✅
Lifestyle Upload,POST,/api/lifestyle-upload,File Operations,Upload lifestyle report section,"FormData: files sections data","{ success boolean uploaded array }","201 Created 400 Bad Request",JWT Bearer token,5 uploads per hour,File validation section data,"File storage Database update","Invalid files Validation failed",✅
Audit Logs,GET,/api/audit-logs?page=1&limit=50,System,Get system audit logs,None,"{ success boolean logs array total number }","200 OK 401 Unauthorized 403 Forbidden",JWT Bearer token Admin only,20 requests per hour,Page limit validation,"Prisma AuditLog.findMany","Insufficient permissions",✅
Health Summary,GET,/api/health-summary/:patientId,Report Generation,Get health summary for patient,None,"{ success boolean summary object keyFindings array recommendations array }","200 OK 404 Not Found 401 Unauthorized",JWT Bearer token,20 requests per hour,PatientId validation,"Prisma Report.findUnique health analysis","Patient not found No reports",✅
