Component,Type,Category,Location,Props,Methods/Functions,Dependencies,State/Hooks,Status,Description
Header with Auth,Wrapper Component,Layout,components/header-with-auth.tsx,children ReactNode,renderNavigation renderUserMenu,auth context React Router hooks,user state isLoading,✅,Main application header with authentication state display and user menu dropdown
Auth Provider,Context Provider,Authentication,components/auth-provider.tsx,children ReactNode,AuthContext useAuth,React Context Prisma Client,auth user session,✅,Provides authentication context and session management across application
Theme Provider,Wrapper Component,UI,components/theme-provider.tsx,children ReactNode defaultTheme,toggleTheme setTheme getColorScheme,next-themes React,currentTheme isDark,✅,Manages application theme (light/dark) and persists user preference
Comprehensive Report  Viewer,Display Component,Report,components/comprehensive-report-viewer.tsx,reportData PatientData sections,renderSection renderChart formatData,Recharts React PDF,activeSection expandedItems,✅,Main report display component with sections for genes health impact nutrition lifestyle
Admin Components - Patient Info Admin,Form Component,Admin,components/admin/patient-info-admin.tsx,"patientInfo name gender birthDate sampleCode sampleDate reportDate checkedBy disclaimers signature1 signature2",updatePatientInfo onSave onReset handleImageUpload,File API React hooks,signatures editMode,✅,Edit patient information including name gender age sample dates and signature uploads
Admin Components - Report Settings Admin,Form Component,Admin,components/admin/report-settings-admin.tsx,"title subtitle companyName headerColor accentColor primaryFont secondaryFont monoFont",updateReportSetting onSave onReset,Color picker Font selector React hooks,settings editMode,✅,Configure report title colors fonts company branding
Admin Components - Nutrition Admin,Form Component,Admin,components/admin/nutrition-admin.tsx,"nutritionQuote nutritionDescription dietData calories macros",updateNutrition addDietField removeDietField,Dynamic field helpers React,dietFields editMode,✅,Manage nutrition content diet analysis and nutritional recommendations
Admin Components - Sports Fitness Admin,Form Component,Admin,components/admin/sports-fitness-admin.tsx,"sportsAndFitness fitnessLevel exercises recommendations",updateSports addExercise editExercise,Dynamic field helpers React,sports exercises,✅,Configure sports and fitness recommendations based on genetic predisposition
Admin Components - Sleep Rest Admin,Form Component,Admin,components/admin/sleep-rest-admin.tsx,"sleepQuote sleepDescription sleepPatterns recommendations",updateSleep addSleepPattern,Dynamic field helpers React,sleepData editMode,✅,Manage sleep quality recommendations and rest patterns
Admin Components - Lifestyle Conditions Admin,Form Component,Admin,components/admin/lifestyle-conditions-admin.tsx,"lifestyleQuote lifestyleDescription conditions habits",updateLifestyle addCondition,Dynamic field helpers React,conditions editMode,✅,Configure lifestyle conditions and habit recommendations
Admin Components - Digestive Health Admin,Form Component,Admin,components/admin/digestive-health-admin.tsx,"digestiveQuote digestiveDescription dietaryGuidelines",updateDigestive addGuideline,Dynamic field helpers React,guidelines editMode,✅,Manage digestive health content and dietary guidelines
Admin Components - Allergies Sensitivity Admin,Form Component,Admin,components/admin/allergies-sensitivity-admin.tsx,"allergyQuote allergyDescription allergyList sensitivityList",updateAllergy addAllergy removeAllergy,Dynamic field helpers React,allergies sensitivities,✅,Track and manage food allergies and sensitivities
Admin Components - Genes Addiction Admin,Form Component,Admin,components/admin/genes-addiction-admin.tsx,"addictionQuote addictionDescription riskFactors recommendations",updateAddiction addRiskFactor,Dynamic field helpers React,addictionData editMode,✅,Configure addiction risk assessment and recommendations
Admin Components - Diet Analysis Admin,Form Component,Admin,components/admin/diet-analysis-admin.tsx,"dietQuote analysisDescription nutritionalProfile",updateDietAnalysis addNutrient,Dynamic field helpers React,dietAnalysis editMode,✅,Analyze and manage nutritional profile recommendations
Admin Components - Genetic Parameters Admin,Form Component,Admin,components/admin/genetic-parameters-admin.tsx,"geneticMarkers pathways variations",addMarker removeMarker editMarker,Dynamic field helpers React,markers editMode,✅,Manage genetic markers SNPs and pathways
Admin Components - Gene Results Admin,Form Component,Admin,components/admin/gene-results-admin.tsx,"geneResults riskAlleles protectiveAlleles",updateGeneResult addGeneResult,Dynamic field helpers React,genes results,✅,Display and manage individual gene test results
Admin Components - Family Genetic Impact Admin,Form Component,Admin,components/admin/family-genetic-impact-admin.tsx,"familyHistory inheritancePatterns riskAssessment",updateFamilyHistory addFamilyMember,Dynamic field helpers React,familyData editMode,✅,Configure family history and inheritance pattern analysis
Admin Components - Health Summary Admin,Form Component,Admin,components/admin/health-summary-admin.tsx,"summaryQuote summaryText keyFindings",updateSummary editField,React hooks,summary editMode,✅,Create comprehensive health summary from all analysis
Admin Components - Preventive Health Admin,Form Component,Admin,components/admin/preventive-health-admin.tsx,"preventiveHealthDescription recommendations screeningGuide",updatePreventive addRecommendation,Dynamic field helpers React,preventive editMode,✅,Configure preventive health measures and screening guidelines
Admin Components - Metabolic Core Admin,Form Component,Admin,components/admin/metabolic-core-admin.tsx,"metabolicQuote metabolicDescription metabolicPathways",updateMetabolic addPathway,Dynamic field helpers React,metabolic editMode,✅,Manage metabolic core analysis and pathway information
Admin Components - Report Summaries Admin,Form Component,Admin,components/admin/report-summaries-admin.tsx,"reportSummaries sections overview",addSummary editSummary removeSummary,React hooks,summaries editMode,✅,Create and manage report section summaries
Admin Components - Content Admin,Form Component,Admin,components/admin/content-admin.tsx,"contentSections textContent editableFields",updateContent addSection removeSection,React hooks,content editMode,✅,General content management interface
Admin Components - Genomic Analysis Admin,Form Component,Admin,components/admin/GenomicAnalysisAdmin.tsx,"genomicData analysisResults pathwayData",updateGenomic analyzeGenome,React hooks Bio libraries,genomic editMode,✅,Comprehensive genomic analysis interface
Admin Components - Import Export Admin,Form Component,Admin,components/admin/import-export-admin.tsx,"importFormat exportFormat fileUpload",importData exportData validateFile,File API React,file editMode,✅,Import and export report data in various formats
Admin Components - Settings Admin,Form Component,Admin,components/admin/settings-admin.tsx,"systemSettings userPreferences config",updateSetting saveSettings resetSettings,React hooks,settings editMode,✅,System-wide settings and preferences
Admin Components - Share Management,Form Component,Admin,components/admin/share-management.tsx,"sharedReports shareTokens recipients expiry",addShare revokeShare updateExpiry,React hooks API calls,shares editMode,✅,Manage report sharing and access tokens
Admin Components - PDF Generator,Utility Component,Admin,components/admin/pdf-generator.tsx,"reportData formatOptions pageSettings",generatePDF downloadPDF,React PDF jsPDF,pdfConfig editMode,✅,Generate and download reports as PDF files
Admin Components - Report Preview,Display Component,Admin,components/admin/ReportPreview.tsx,reportData previewFormat,renderPreview toggleFormat,React,preview format,✅,Live preview of report before generating/sharing
UI Components - Accordion,UI Element,Design System,components/ui/accordion.tsx,"items data trigger content",expandItem collapseItem,React Radix UI,expanded activeItems,✅,Collapsible accordion component
UI Components - Alert,UI Element,Design System,components/ui/alert.tsx,"title message type variant",dismissAlert,React,isVisible type,✅,Alert notification component
UI Components - Alert Dialog,UI Element,Design System,components/ui/alert-dialog.tsx,"title message buttons onConfirm onCancel",show hide confirm cancel,React Radix UI,isOpen selectedButton,✅,Modal alert dialog component
UI Components - Avatar,UI Element,Design System,components/ui/avatar.tsx,"image fallback name",onError,React,imageLoaded,✅,User avatar display component
UI Components - Badge,UI Element,Design System,components/ui/badge.tsx,"label variant icon",onClick,React,isActive,✅,Small badge/tag component
UI Components - Button,UI Element,Design System,components/ui/button.tsx,"label onClick disabled variant loading",onClick disable enable,React,isLoading hover,✅,Styled button component
UI Components - Card,UI Element,Design System,components/ui/card.tsx,"children header footer",onClick,React,isExpanded,✅,Card container component
UI Components - Checkbox,UI Element,Design System,components/ui/checkbox.tsx,"label checked onChange disabled",toggle check uncheck,React,checked indeterminate,✅,Checkbox input component
UI Components - Dialog,UI Element,Design System,components/ui/dialog.tsx,"isOpen title content onClose",open close confirm,React Radix UI,isOpen visible,✅,Modal dialog component
UI Components - Input,UI Element,Design System,components/ui/input.tsx,"type placeholder value onChange disabled",onChange clear validate,React,value error,✅,Text input component
UI Components - Label,UI Element,Design System,components/ui/label.tsx,"htmlFor text required",onClick,React,focused,✅,Form label component
UI Components - Select,UI Element,Design System,components/ui/select.tsx,"items selectedValue onChange disabled",select clear filter,React Radix UI,selectedValue isOpen,✅,Dropdown select component
UI Components - Textarea,UI Element,Design System,components/ui/textarea.tsx,"value onChange placeholder maxLength disabled",clear validate,React,value characterCount,✅,Multi-line text input component
UI Components - Tabs,UI Element,Design System,components/ui/tabs.tsx,"tabs activeTab onChange",selectTab switchTab,React Radix UI,activeTab,✅,Tab navigation component
UI Components - Toggle,UI Element,Design System,components/ui/toggle.tsx,"checked onChange disabled label",toggle,React,checked,✅,Toggle switch component
Hooks - use-toast,Custom Hook,Utilities,hooks/use-toast.ts,message type duration,showToast dismissToast,React toast library,toasts notifications,✅,Toast notification hook
Hooks - use-mobile,Custom Hook,Utilities,hooks/use-mobile.tsx,breakpoint,isMobile useMediaQuery,React,windowSize isMobile,✅,Mobile detection hook
